wave,cl5_398645626ccs_f0030004ccam02013p3,cl5_398646038ccs_f0030004ccam03013p3
327.47299,37300000000.0,10700000000.0
327.51901,32800000000.0,10300000000.0
327.564,29300000000.0,8660000000.0
327.60901,24800000000.0,9920000000.0
327.655,30600000000.0,12000000000.0
327.69901,37700000000.0,12900000000.0
327.746,48500000000.0,14900000000.0
327.79099,53100000000.0,15900000000.0
327.836,79800000000.0,19200000000.0
327.88199,120000000000.0,23800000000.0
327.927,136000000000.0,24800000000.0
327.97299,115000000000.0,22000000000.0
328.01801,90800000000.0,19200000000.0
328.06201,70800000000.0,16400000000.0
328.10901,58600000000.0,15400000000.0
328.15399,46900000000.0,14100000000.0
328.19901,44400000000.0,12500000000.0
328.245,62500000000.0,13900000000.0
328.29001,69600000000.0,15100000000.0
328.33499,52600000000.0,12200000000.0
328.38,34200000000.0,9320000000.0
328.42499,28800000000.0,7850000000.0
328.47101,28300000000.0,8570000000.0
328.517,32100000000.0,9490000000.0
328.56201,48800000000.0,10700000000.0
328.60699,57300000000.0,11400000000.0
328.65302,65500000000.0,14800000000.0
328.69699,89300000000.0,23400000000.0
328.742,128000000000.0,31400000000.0
328.78799,187000000000.0,38000000000.0
328.83401,198000000000.0,38700000000.0
328.879,154000000000.0,31600000000.0
328.92401,114000000000.0,26200000000.0
328.97,94400000000.0,23500000000.0
329.01401,67000000000.0,19100000000.0
329.05899,50900000000.0,14900000000.0
329.104,39300000000.0,12200000000.0
329.151,31500000000.0,10600000000.0
329.19601,30500000000.0,9900000000.0
329.241,30900000000.0,10700000000.0
329.28601,32200000000.0,10800000000.0
329.332,24400000000.0,9270000000.0
329.37601,16500000000.0,7080000000.0
329.42099,11100000000.0,5360000000.0
329.466,7240000000.0,3980000000.0
329.513,6050000000.0,3530000000.0
329.55801,6070000000.0,3270000000.0
329.603,6020000000.0,3120000000.0
329.647,4520000000.0,2710000000.0
329.69199,2760000000.0,2280000000.0
329.737,1780000000.0,1940000000.0
329.78299,2180000000.0,1920000000.0
329.82901,3590000000.0,2120000000.0
329.87399,4700000000.0,2210000000.0
329.91901,4480000000.0,2070000000.0
329.96399,3130000000.0,1720000000.0
330.009,1640000000.0,1210000000.0
330.05399,462000000.0,650000000.0
330.099,18741657.0,342000000.0
330.14401,1980000000.0,476000000.0
330.19,2680000000.0,340000000.0
330.23499,21700000000.0,2600000000.0
330.27899,43800000000.0,5000000000.0
330.32501,55400000000.0,5530000000.0
330.37,42500000000.0,4410000000.0
330.41501,28700000000.0,3490000000.0
330.45999,20200000000.0,2280000000.0
330.50601,17000000000.0,3610000000.0
330.55099,16100000000.0,4140000000.0
330.595,34000000000.0,9350000000.0
330.64001,77800000000.0,22100000000.0
330.685,99100000000.0,30200000000.0
330.73001,75900000000.0,24700000000.0
330.776,55500000000.0,18300000000.0
330.82199,42000000000.0,14100000000.0
330.867,36600000000.0,11300000000.0
330.91101,42000000000.0,9940000000.0
330.95599,39600000000.0,8560000000.0
331.00101,31000000000.0,7070000000.0
331.04599,23400000000.0,5510000000.0
331.091,16900000000.0,4160000000.0
331.13699,12100000000.0,3210000000.0
331.18201,8760000000.0,2360000000.0
331.22601,6830000000.0,1700000000.0
331.271,5970000000.0,1460000000.0
331.31601,4970000000.0,1310000000.0
331.36099,4290000000.0,937000000.0
331.40601,5820000000.0,-104000000.0
331.452,8670000000.0,656000000.0
331.496,20100000000.0,4020000000.0
331.54099,32800000000.0,5750000000.0
331.586,35600000000.0,4250000000.0
331.63101,24600000000.0,2810000000.0
331.67599,13500000000.0,1520000000.0
331.72101,8080000000.0,755000000.0
331.767,9720000000.0,727000000.0
331.811,18200000000.0,1150000000.0
331.85599,28800000000.0,2630000000.0
331.901,20100000000.0,1510000000.0
331.94601,13000000000.0,735000000.0
331.991,8560000000.0,183000000.0
332.03601,6610000000.0,48783201.0
332.082,4940000000.0,-58488566.0
332.12601,11600000000.0,1190000000.0
332.17099,36200000000.0,5530000000.0
332.216,61600000000.0,9530000000.0
332.26099,84700000000.0,13100000000.0
332.306,195000000000.0,28500000000.0
332.35001,275000000000.0,40700000000.0
332.39499,217000000000.0,36100000000.0
332.44,138000000000.0,26700000000.0
332.48499,98400000000.0,22000000000.0
332.53,76200000000.0,18800000000.0
332.57501,61800000000.0,14700000000.0
332.62,46600000000.0,13100000000.0
332.66501,41200000000.0,11800000000.0
332.70999,48300000000.0,11100000000.0
332.754,39600000000.0,9410000000.0
332.79901,30100000000.0,8620000000.0
332.84399,25800000000.0,7530000000.0
332.88901,32000000000.0,8960000000.0
332.93399,83300000000.0,14900000000.0
332.979,176000000000.0,26400000000.0
333.02399,187000000000.0,27000000000.0
333.06799,128000000000.0,19900000000.0
333.11301,85700000000.0,16200000000.0
333.15799,73600000000.0,14400000000.0
333.203,99100000000.0,17700000000.0
333.24701,129000000000.0,20500000000.0
333.293,124000000000.0,21300000000.0
333.33701,87700000000.0,16900000000.0
333.38199,65000000000.0,13100000000.0
333.427,54200000000.0,11000000000.0
333.47198,54200000000.0,11700000000.0
333.51599,96000000000.0,17000000000.0
333.56,148000000000.0,23200000000.0
333.60599,143000000000.0,23300000000.0
333.651,103000000000.0,20100000000.0
333.69601,80800000000.0,17600000000.0
333.741,76900000000.0,17000000000.0
333.784,66900000000.0,15700000000.0
333.82901,60200000000.0,15000000000.0
333.875,56000000000.0,15200000000.0
333.92001,52200000000.0,16400000000.0
333.96399,52200000000.0,16400000000.0
334.009,73000000000.0,19700000000.0
334.05301,125000000000.0,27700000000.0
334.09799,165000000000.0,33900000000.0
334.142,169000000000.0,34900000000.0
334.18799,321000000000.0,55500000000.0
334.233,523000000000.0,81800000000.0
334.27701,448000000000.0,73300000000.0
334.32101,292000000000.0,52900000000.0
334.366,224000000000.0,43800000000.0
334.41,184000000000.0,38100000000.0
334.45599,159000000000.0,35400000000.0
334.50101,131000000000.0,32800000000.0
334.54599,119000000000.0,31700000000.0
334.58899,95000000000.0,28300000000.0
334.634,84800000000.0,26000000000.0
334.67899,92200000000.0,27200000000.0
334.724,102000000000.0,28700000000.0
334.76901,104000000000.0,30600000000.0
334.814,113000000000.0,34100000000.0
334.858,170000000000.0,43000000000.0
334.90201,478000000000.0,87400000000.0
334.94699,1170000000000.0,183000000000.0
334.991,1410000000000.0,218000000000.0
335.03699,1090000000000.0,177000000000.0
335.08099,701000000000.0,122000000000.0
335.125,497000000000.0,92800000000.0
335.17001,394000000000.0,77300000000.0
335.21399,313000000000.0,64900000000.0
335.259,256000000000.0,55000000000.0
335.30499,211000000000.0,50200000000.0
335.349,167000000000.0,42900000000.0
335.39301,132000000000.0,37400000000.0
335.43701,109000000000.0,34000000000.0
335.48199,129000000000.0,35800000000.0
335.526,128000000000.0,34100000000.0
335.57199,113000000000.0,35500000000.0
335.617,99100000000.0,35000000000.0
335.66,86400000000.0,32000000000.0
335.70499,81300000000.0,31700000000.0
335.74899,73600000000.0,30000000000.0
335.79401,72900000000.0,30600000000.0
335.83801,70500000000.0,29700000000.0
335.884,76600000000.0,32100000000.0
335.927,74600000000.0,31200000000.0
335.97198,73300000000.0,30900000000.0
336.017,84300000000.0,34600000000.0
336.061,117000000000.0,40200000000.0
336.10599,324000000000.0,70500000000.0
336.14999,720000000000.0,123000000000.0
336.19501,792000000000.0,136000000000.0
336.23901,530000000000.0,99200000000.0
336.284,366000000000.0,77900000000.0
336.328,271000000000.0,62600000000.0
336.37299,228000000000.0,56700000000.0
336.41699,186000000000.0,50100000000.0
336.46201,161000000000.0,46800000000.0
336.50601,136000000000.0,42200000000.0
336.55099,121000000000.0,40600000000.0
336.595,100000000000.0,37600000000.0
336.63901,91300000000.0,35600000000.0
336.68399,85300000000.0,34100000000.0
336.728,77500000000.0,34800000000.0
336.77301,75600000000.0,34500000000.0
336.81699,71700000000.0,33000000000.0
336.862,71400000000.0,32800000000.0
336.90601,67600000000.0,31200000000.0
336.95099,76900000000.0,34500000000.0
336.995,85200000000.0,36900000000.0
337.039,89800000000.0,38800000000.0
337.08401,113000000000.0,43100000000.0
337.12799,132000000000.0,46600000000.0
337.172,158000000000.0,49100000000.0
337.21701,190000000000.0,54000000000.0
337.26099,293000000000.0,67100000000.0
337.306,567000000000.0,104000000000.0
337.35001,604000000000.0,108000000000.0
337.39499,435000000000.0,85000000000.0
337.43799,291000000000.0,64200000000.0
337.483,233000000000.0,56000000000.0
337.52802,199000000000.0,50500000000.0
337.57199,167000000000.0,46400000000.0
337.616,140000000000.0,42200000000.0
337.66,123000000000.0,41000000000.0
337.70401,108000000000.0,38100000000.0
337.75,119000000000.0,41600000000.0
337.79401,126000000000.0,42100000000.0
337.83801,112000000000.0,39800000000.0
337.883,104000000000.0,39600000000.0
337.92599,95000000000.0,37500000000.0
337.97101,93700000000.0,37900000000.0
338.01599,115000000000.0,37800000000.0
338.06,161000000000.0,44300000000.0
338.104,166000000000.0,45200000000.0
338.147,125000000000.0,37000000000.0
338.19199,101000000000.0,34900000000.0
338.237,93000000000.0,34300000000.0
338.28101,85600000000.0,31700000000.0
338.32599,103000000000.0,34100000000.0
338.37,218000000000.0,50100000000.0
338.41299,391000000000.0,71200000000.0
338.457,363000000000.0,66700000000.0
338.50299,258000000000.0,53700000000.0
338.547,190000000000.0,42800000000.0
338.591,163000000000.0,40100000000.0
338.634,139000000000.0,34100000000.0
338.67899,124000000000.0,32700000000.0
338.72299,103000000000.0,29400000000.0
338.76801,113000000000.0,29800000000.0
338.81201,150000000000.0,33700000000.0
338.85699,162000000000.0,35100000000.0
338.89999,121000000000.0,29200000000.0
338.944,93000000000.0,26000000000.0
338.98901,82500000000.0,26800000000.0
339.034,83500000000.0,28300000000.0
339.078,82000000000.0,30300000000.0
339.121,73600000000.0,27600000000.0
339.16501,67400000000.0,26100000000.0
339.20901,55300000000.0,23500000000.0
339.255,61400000000.0,23600000000.0
339.29901,68100000000.0,25000000000.0
339.34201,60500000000.0,22000000000.0
339.38599,51200000000.0,20100000000.0
339.42999,51500000000.0,18000000000.0
339.474,80400000000.0,19500000000.0
339.51999,100000000000.0,23000000000.0
339.56299,76300000000.0,18500000000.0
339.60699,60300000000.0,15500000000.0
339.651,47700000000.0,13000000000.0
339.69501,36800000000.0,10700000000.0
339.73999,32000000000.0,9890000000.0
339.784,28100000000.0,9060000000.0
339.827,23200000000.0,7680000000.0
339.87201,21800000000.0,7480000000.0
339.91599,21700000000.0,7590000000.0
339.95999,22000000000.0,7760000000.0
340.005,22700000000.0,8220000000.0
340.048,18900000000.0,7010000000.0
340.09201,14900000000.0,5480000000.0
340.13599,12000000000.0,4200000000.0
340.17999,11300000000.0,3740000000.0
340.22501,13100000000.0,4210000000.0
340.26801,14100000000.0,4380000000.0
340.31299,14800000000.0,4410000000.0
340.35699,14600000000.0,4000000000.0
340.401,13700000000.0,3550000000.0
340.44501,14300000000.0,3740000000.0
340.48901,14600000000.0,3760000000.0
340.53299,12500000000.0,3120000000.0
340.577,8650000000.0,2180000000.0
340.621,-1050000000.0,1890000000.0
340.66501,5140000000.0,7851312.1
340.70901,7000000000.0,678000000.0
340.75299,8440000000.0,1550000000.0
340.797,10200000000.0,2480000000.0
382.13812,546000000000.0,188000000000.0
382.18607,712000000000.0,242000000000.0
382.23401,623000000000.0,210000000000.0
382.28198,312000000000.0,107000000000.0
382.32993,103000000000.0,36700000000.0
382.37787,45200000000.0,19300000000.0
382.42578,60900000000.0,22100000000.0
382.47372,113000000000.0,32200000000.0
382.52164,201000000000.0,58700000000.0
382.56958,349000000000.0,105000000000.0
382.61749,438000000000.0,135000000000.0
382.66541,522000000000.0,165000000000.0
382.71332,590000000000.0,192000000000.0
382.7612,613000000000.0,199000000000.0
382.80911,496000000000.0,155000000000.0
382.85699,425000000000.0,124000000000.0
382.90488,443000000000.0,128000000000.0
382.95276,480000000000.0,130000000000.0
383.00064,398000000000.0,95400000000.0
383.04852,268000000000.0,49000000000.0
383.09641,225000000000.0,31100000000.0
383.14426,210000000000.0,26300000000.0
383.19211,201000000000.0,24800000000.0
383.23996,247000000000.0,29500000000.0
383.28781,371000000000.0,44900000000.0
383.33566,493000000000.0,61400000000.0
383.38351,563000000000.0,75500000000.0
383.43134,506000000000.0,80900000000.0
383.47916,410000000000.0,89500000000.0
383.52701,401000000000.0,107000000000.0
383.57483,430000000000.0,119000000000.0
383.62262,346000000000.0,92900000000.0
383.67044,206000000000.0,44900000000.0
383.71826,163000000000.0,23800000000.0
383.76605,202000000000.0,30500000000.0
383.81384,320000000000.0,46000000000.0
383.86163,483000000000.0,66000000000.0
383.90942,688000000000.0,90200000000.0
383.95721,823000000000.0,109000000000.0
384.005,783000000000.0,109000000000.0
384.05276,536000000000.0,94300000000.0
384.10052,424000000000.0,104000000000.0
384.14832,460000000000.0,128000000000.0
384.19604,540000000000.0,158000000000.0
384.2438,512000000000.0,150000000000.0
384.29156,346000000000.0,101000000000.0
384.33929,162000000000.0,47400000000.0
384.38705,68900000000.0,20700000000.0
384.43478,50200000000.0,14400000000.0
384.48251,40100000000.0,12200000000.0
384.53024,22300000000.0,6590000000.0
384.57797,7370000000.0,2540000000.0
384.62567,3860000000.0,1780000000.0
384.6734,7300000000.0,1640000000.0
384.7211,15100000000.0,4420000000.0
384.7688,21600000000.0,6760000000.0
384.8165,28400000000.0,8220000000.0
384.8642,23300000000.0,6010000000.0
384.91187,11900000000.0,4430000000.0
384.95956,21600000000.0,6680000000.0
385.00723,47500000000.0,14800000000.0
385.0549,86300000000.0,27100000000.0
385.10257,128000000000.0,40100000000.0
385.15024,149000000000.0,46400000000.0
385.19791,126000000000.0,39700000000.0
385.24554,76700000000.0,27000000000.0
385.29318,58100000000.0,22400000000.0
385.34085,63000000000.0,24700000000.0
385.38849,86200000000.0,32800000000.0
385.4361,111000000000.0,39900000000.0
385.48373,148000000000.0,52700000000.0
385.53137,200000000000.0,70800000000.0
385.57898,260000000000.0,92200000000.0
385.62659,377000000000.0,129000000000.0
385.67419,541000000000.0,178000000000.0
385.7218,644000000000.0,208000000000.0
385.76941,679000000000.0,217000000000.0
385.81702,503000000000.0,164000000000.0
385.86459,294000000000.0,103000000000.0
385.9122,195000000000.0,75600000000.0
385.95978,212000000000.0,81200000000.0
386.00735,296000000000.0,102000000000.0
386.0549,433000000000.0,146000000000.0
386.10248,535000000000.0,178000000000.0
386.15005,543000000000.0,181000000000.0
386.1976,384000000000.0,132000000000.0
386.24515,248000000000.0,88600000000.0
386.29269,249000000000.0,87700000000.0
386.34024,269000000000.0,94000000000.0
386.38779,299000000000.0,101000000000.0
386.4353,269000000000.0,91500000000.0
386.48285,180000000000.0,65000000000.0
386.53036,128000000000.0,48600000000.0
386.57788,121000000000.0,43600000000.0
386.6254,131000000000.0,46100000000.0
386.67291,144000000000.0,47800000000.0
386.7204,122000000000.0,38900000000.0
386.76791,75000000000.0,24600000000.0
386.8154,36700000000.0,12500000000.0
386.86288,25000000000.0,8130000000.0
386.91037,13800000000.0,5090000000.0
386.95786,4790000000.0,2620000000.0
387.00531,3430000000.0,1270000000.0
387.0528,2680000000.0,902000000.0
387.10025,3840000000.0,1070000000.0
387.14771,7190000000.0,2380000000.0
387.19516,19800000000.0,6470000000.0
387.24261,45000000000.0,14300000000.0
387.29007,78200000000.0,25000000000.0
387.33749,113000000000.0,34100000000.0
387.38495,137000000000.0,40500000000.0
387.43237,115000000000.0,34500000000.0
387.4798,61900000000.0,19300000000.0
387.52722,34600000000.0,12700000000.0
387.57462,25600000000.0,10200000000.0
387.62204,21500000000.0,7660000000.0
387.66943,26100000000.0,9080000000.0
387.71686,38500000000.0,13000000000.0
387.76425,62000000000.0,19800000000.0
387.81165,101000000000.0,31000000000.0
387.85901,179000000000.0,53500000000.0
387.9064,269000000000.0,79000000000.0
387.95377,328000000000.0,95300000000.0
388.00116,281000000000.0,82000000000.0
388.04852,167000000000.0,49600000000.0
388.09589,67100000000.0,22100000000.0
388.14322,28500000000.0,12300000000.0
388.19058,29800000000.0,12500000000.0
388.23795,44900000000.0,16800000000.0
388.28528,61400000000.0,21800000000.0
388.33261,80800000000.0,27000000000.0
388.37994,86800000000.0,27900000000.0
388.42728,79100000000.0,27600000000.0
388.47461,62700000000.0,25100000000.0
388.52191,56400000000.0,23700000000.0
388.56921,72700000000.0,25900000000.0
388.61655,126000000000.0,42000000000.0
388.66385,211000000000.0,68400000000.0
388.71112,315000000000.0,98100000000.0
388.75842,381000000000.0,116000000000.0
388.80573,357000000000.0,107000000000.0
388.853,238000000000.0,73000000000.0
388.90027,168000000000.0,53800000000.0
